# sfho.eos converted to units with G=c=Msun=1
#
# rho0=nB*mB           epsl=(rho-rho0)/rho0    P
#
1.1911866656808094e-08 1.2890275847210475e-03 9.0672013976913397e-12
1.3906352878208905e-08 1.4101151289793723e-03 1.1123680374931582e-11
1.6234789722292700e-08 1.5373392208499759e-03 1.3641806627592059e-11
1.8953092851546098e-08 1.6710006040030478e-03 1.6733766862621731e-11
2.2126540274560346e-08 1.8112947109971689e-03 2.0481162236241935e-11
2.5831339948392828e-08 1.9586706794012532e-03 2.5172750165052530e-11
3.0156459855434766e-08 2.1102541359776517e-03 2.9436574891635576e-11
3.5205764502705453e-08 2.2658134005777431e-03 3.6250465178729491e-11
4.1100509150001697e-08 2.4287549902559658e-03 4.3981976020820300e-11
4.7982251663915822e-08 2.5941419256656495e-03 5.0717426985764016e-11
5.6016251923712849e-08 2.7623782289438736e-03 6.2292074773491971e-11
6.5395440413243571e-08 2.9444172220662868e-03 8.1107691775902972e-11
7.6345051301651474e-08 3.1398266031157362e-03 9.7493603727867612e-11
8.9128031272825880e-08 3.3403495134916028e-03 1.1634946849813620e-10
1.0405135399257975e-07 3.5486023257658150e-03 1.4359589682397811e-10
1.2147339185074222e-07 3.7683917100865827e-03 1.7659789761171357e-10
1.4181252200501151e-07 3.9908854785346559e-03 1.9930499536304098e-10
1.6555717339425725e-07 4.2157188319156269e-03 2.4742947628197762e-10
1.9327755599274545e-07 4.4532723092052251e-03 3.0303415786410117e-10
2.2563935397452717e-07 4.7034029536923150e-03 3.7402685969347858e-10
2.6341971161904050e-07 4.9613709807136974e-03 4.3783828238674994e-10
3.0752589584745942e-07 5.2223212426001364e-03 5.2232179520799616e-10
3.5901708355657699e-07 5.4918890262634079e-03 6.3769259991469379e-10
4.1912979695668943e-07 5.7729098721808203e-03 7.7335996186838794e-10
4.8930759772403090e-07 6.0644594388972184e-03 9.3530953956666796e-10
5.7123575305051061e-07 6.3651096897627824e-03 1.1201680093584694e-09
6.6688170606993659e-07 6.6753962782024612e-03 1.3588324615616956e-09
7.7854232252760056e-07 6.9899460330971053e-03 1.5629805809586097e-09
9.0889904828654514e-07 7.2877583422816805e-03 1.6443959299047321e-09
1.0610823022365634e-06 7.5576550432485678e-03 1.7523855040224275e-09
1.2387466509533510e-06 7.8045158258839287e-03 1.8759487322118705e-09
1.4461585703707595e-06 8.0304698399504826e-03 1.9999289705388419e-09
1.6882989019968290e-06 8.2389945362404404e-03 2.1835728421488283e-09
1.9709824640827240e-06 8.4346345870656148e-03 2.4011461602096729e-09
2.3009976901169019e-06 8.6196907859028560e-03 2.6653446596989326e-09
2.6862696479582180e-06 8.7963533431547614e-03 2.9850663657859160e-09
3.1360503543899511e-06 8.9665180485201113e-03 3.3731987717176476e-09
3.6611409553558953e-06 9.1318768184551757e-03 3.8448419916263638e-09
4.2741511073701418e-06 9.2938817714720567e-03 4.4156771969720832e-09
4.9898017889501221e-06 9.4533975776409651e-03 5.0812267405550942e-09
5.8252788138624084e-06 9.6113918514804109e-03 5.9089937824115510e-09
6.8006455355361831e-06 9.7691823804808564e-03 6.9104269143477041e-09
7.9393246534312201e-06 9.9274594892504453e-03 8.1049355578702932e-09
9.2686606915781649e-06 1.0086604879647298e-02 9.5231877121745673e-09
1.0820576656791384e-05 1.0246975966318850e-02 1.1219275170886129e-08
1.2632340645707975e-05 1.0408923722470265e-02 1.3237125666802790e-08
1.4747460810145409e-05 1.0572510906192933e-02 1.5600764385539089e-08
1.7216730172699240e-05 1.0737519395318529e-02 1.8353445232021550e-08
2.0099446383042104e-05 1.0903838700162760e-02 2.1602349391486094e-08
2.3464835706456752e-05 1.1072141041608363e-02 2.5628573262284513e-08
2.7393715440617590e-05 1.1243677504260807e-02 3.0597483267794500e-08
3.1980434682312438e-05 1.1419815165875757e-02 3.6848886400758106e-08
3.7335140050158693e-05 1.1602651907046679e-02 4.4968789808043180e-08
4.3586420772945335e-05 1.1795523178704581e-02 5.5939524736574442e-08
5.0884396663410007e-05 1.2003558389103830e-02 7.1375603730265438e-08
5.9404323132823195e-05 1.2234301071186282e-02 9.3864458626917691e-08
6.9350799818098855e-05 1.2498362432447507e-02 1.2744049875543998e-07
8.0962683888448654e-05 1.2809970876311860e-02 1.7811869234737851e-07
9.4518826020953533e-05 1.3187863120235122e-02 2.5531974503372490e-07
